,Computers available,Departed wait queue,Patrons today,Patrons_waiting 1,Patrons_waiting 10,Patrons_waiting 2,Patrons_waiting 3,Patrons_waiting 4,Patrons_waiting 5,Patrons_waiting 6,Patrons_waiting 7,Patrons_waiting 8,Patrons_waiting 9,Utilization 1,Utilization 10,Utilization 2,Utilization 3,Utilization 4,Utilization 5,Utilization 6,Utilization 7,Utilization 8,Utilization 9,max wait duration,median wait duration,min wait duration,Inventory qty
47,70,92,550,0,41,0,0,13,65,127,131,100,68,0.21428571428571427,1.0,0.3,0.4714285714285714,1.0,0.9857142857142858,1.0,0.9857142857142858,0.9857142857142858,0.9857142857142858,85.0,25.0,0.0,75
48,70,125,542,0,29,0,0,13,69,117,136,85,60,0.18571428571428572,1.0,0.34285714285714286,0.4714285714285714,1.0,1.0,1.0,1.0,1.0,0.9857142857142858,89.0,32.0,0.0,75
49,71,112,503,0,11,0,0,0,60,94,123,75,36,0.2535211267605634,0.9859154929577465,0.39436619718309857,0.4788732394366197,1.028169014084507,0.9859154929577465,0.9859154929577465,0.9859154929577465,1.0,1.0,88.0,34.0,0.0,75
50,70,107,514,0,30,0,0,9,58,100,123,94,57,0.17142857142857143,0.9857142857142858,0.32857142857142857,0.37142857142857144,1.0,1.0,1.0,1.0,1.0,1.0,88.0,30.0,0.0,75
51,70,173,535,0,0,0,0,15,55,99,91,37,-1,0.3142857142857143,0.8428571428571429,0.37142857142857144,0.4142857142857143,1.0,0.9857142857142858,1.0,1.0,1.0,1.0,98.0,38.0,0.0,75
52,70,124,531,0,30,0,0,16,56,94,140,86,54,0.2714285714285714,0.9857142857142858,0.2857142857142857,0.45714285714285713,1.0,1.0,0.9857142857142858,1.0,1.0,1.0,84.0,30.0,0.0,75
53,70,95,511,0,56,0,0,9,56,133,137,110,81,0.15714285714285714,1.0,0.2,0.5142857142857142,1.0,1.0,1.0,0.9857142857142858,0.9857142857142858,1.0,89.0,30.0,0.0,75
54,70,116,506,0,21,0,0,11,64,109,105,70,42,0.2,1.0,0.37142857142857144,0.5857142857142857,0.9857142857142858,1.0,0.9857142857142858,1.0,1.0,1.0,89.0,32.0,0.0,75
55,71,135,538,0,45,0,0,6,56,116,127,95,78,0.2112676056338028,1.0,0.2676056338028169,0.4647887323943662,0.9859154929577465,1.0,0.9859154929577465,0.9859154929577465,1.0,1.0,87.0,31.0,0.0,75
56,70,128,520,0,41,0,0,14,64,103,135,86,54,0.15714285714285714,0.9857142857142858,0.34285714285714286,0.45714285714285713,1.0,1.0,1.0,1.0,1.0,1.0,89.0,28.5,0.0,75
57,71,121,507,0,13,0,0,11,56,102,124,74,38,0.22535211267605634,0.9859154929577465,0.36619718309859156,0.4084507042253521,0.9859154929577465,1.0,1.0,1.0,1.0,1.0,88.0,26.0,0.0,75
58,70,129,540,0,43,0,0,16,74,155,154,100,74,0.22857142857142856,1.0,0.37142857142857144,0.34285714285714286,0.9857142857142858,0.9857142857142858,0.9857142857142858,1.0,1.0,1.0,89.0,34.0,-1.0,75
59,71,130,513,0,-1,0,0,17,59,96,90,47,18,0.19718309859154928,0.9014084507042254,0.38028169014084506,0.4084507042253521,1.0,0.9859154929577465,1.0,1.0,1.0,0.9859154929577465,89.0,36.0,0.0,75
60,70,117,511,0,13,0,0,0,60,114,146,72,40,0.21428571428571427,1.0,0.38571428571428573,0.5857142857142857,0.9142857142857143,1.0,1.0,1.0,0.9857142857142858,0.9857142857142858,88.0,37.0,-1.0,75
61,70,108,561,0,80,0,0,25,74,129,183,140,113,0.32857142857142857,0.9857142857142858,0.34285714285714286,0.6857142857142857,0.9857142857142858,1.0,1.0,1.0,0.9857142857142858,1.0,89.0,30.0,0.0,75
62,70,119,534,0,44,0,0,11,75,139,171,114,77,0.2857142857142857,1.0,0.34285714285714286,0.44285714285714284,1.0,0.9857142857142858,0.9857142857142858,1.0,1.0,1.0,89.0,35.0,0.0,75
63,70,74,513,0,70,0,0,14,62,125,151,129,96,0.15714285714285714,0.9857142857142858,0.34285714285714286,0.4142857142857143,0.9857142857142858,1.0,0.9857142857142858,0.9857142857142858,1.0,0.9857142857142858,89.0,20.0,0.0,75
64,71,105,540,0,33,0,0,16,63,129,137,91,67,0.14084507042253522,0.9859154929577465,0.4084507042253521,0.5774647887323944,0.9859154929577465,0.9859154929577465,1.0,1.0,1.0,1.0,88.0,24.0,0.0,75
65,70,91,524,0,43,0,0,5,60,109,112,88,73,0.2714285714285714,0.9857142857142858,0.21428571428571427,0.45714285714285713,0.9857142857142858,0.9857142857142858,1.0,1.0,1.0,1.0,87.0,23.5,0.0,75
66,71,143,560,0,36,0,0,24,71,125,145,100,64,0.2676056338028169,1.0,0.4225352112676056,0.5211267605633803,1.0,1.0,1.0,0.9859154929577465,1.0,0.9859154929577465,89.0,40.0,0.0,75
67,71,83,502,0,73,0,0,0,48,129,159,136,105,0.11267605633802817,1.0,0.2112676056338028,0.38028169014084506,0.971830985915493,1.0,1.0,1.0,0.9859154929577465,1.0,88.0,22.0,0.0,75
68,70,111,534,0,63,0,0,12,73,134,158,111,92,0.11428571428571428,1.0,0.34285714285714286,0.6285714285714286,0.9857142857142858,0.9857142857142858,1.0,0.9857142857142858,0.9857142857142858,0.9857142857142858,89.0,26.0,0.0,75
69,70,135,534,0,37,0,0,3,61,124,120,85,71,0.11428571428571428,0.9857142857142858,0.2571428571428571,0.5,1.0,1.0,1.0,0.9857142857142858,1.0,1.0,89.0,39.0,0.0,75
70,70,83,502,0,58,0,0,0,53,127,137,109,78,0.2714285714285714,1.0,0.37142857142857144,0.45714285714285713,0.9857142857142858,0.9857142857142858,0.9857142857142858,1.0,1.0,1.0,85.0,24.0,0.0,75
71,71,112,510,0,55,0,0,1,58,111,132,96,77,0.15492957746478872,0.9859154929577465,0.39436619718309857,0.4507042253521127,0.9859154929577465,1.0,0.9859154929577465,1.0,1.0,0.9859154929577465,88.0,32.0,0.0,75
72,71,137,560,0,0,0,0,33,73,134,141,63,21,0.22535211267605634,0.8732394366197183,0.4507042253521127,0.7464788732394366,0.9859154929577465,1.0,1.0,0.9859154929577465,1.0,1.0,89.0,33.0,0.0,75
73,70,181,528,0,0,0,0,24,70,119,96,54,21,0.2571428571428571,0.9285714285714286,0.38571428571428573,0.5,1.0,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.9857142857142858,99.0,41.0,0.0,75
74,71,131,536,0,48,0,0,10,57,128,140,103,75,0.09859154929577464,1.0,0.23943661971830985,0.3380281690140845,0.9859154929577465,0.9859154929577465,0.9859154929577465,1.0,0.9859154929577465,0.9859154929577465,88.0,28.0,0.0,75
75,70,130,519,0,33,0,0,2,71,130,155,100,63,0.2571428571428571,1.0,0.3142857142857143,0.5,1.0,0.9857142857142858,0.9857142857142858,0.9857142857142858,1.0,0.9857142857142858,89.0,31.0,0.0,75
76,70,96,533,0,74,0,0,14,72,137,158,118,97,0.21428571428571427,1.0,0.42857142857142855,0.5142857142857142,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.9857142857142858,1.0,0.9857142857142858,74.0,26.0,0.0,75
77,71,122,559,0,57,0,0,9,77,163,185,131,93,0.18309859154929578,0.9859154929577465,0.352112676056338,0.4225352112676056,1.0,0.9859154929577465,0.9859154929577465,0.9859154929577465,1.0,1.0,88.0,33.0,0.0,75
78,70,129,507,0,23,0,0,2,63,121,127,83,42,0.2,1.0,0.4,0.5,1.0,1.0,1.0,0.9857142857142858,0.9857142857142858,0.9857142857142858,86.0,30.0,0.0,75
79,70,136,499,0,0,0,0,0,47,111,116,58,7,0.14285714285714285,0.8142857142857143,0.2857142857142857,0.4,0.9428571428571428,1.0,0.9857142857142858,1.0,1.0,1.0,89.0,40.5,0.0,75
80,71,146,545,0,19,0,0,4,65,113,131,91,45,0.29577464788732394,1.0,0.30985915492957744,0.4788732394366197,0.9859154929577465,1.0,1.0,0.9859154929577465,1.0,1.0,89.0,36.0,0.0,75
81,70,95,568,0,87,0,0,17,66,157,199,144,118,0.1,1.0,0.35714285714285715,0.4857142857142857,0.9857142857142858,1.0,1.0,1.0,0.9857142857142858,0.9857142857142858,85.0,31.0,0.0,75
82,71,99,528,0,60,0,0,9,65,129,149,130,98,0.28169014084507044,0.9859154929577465,0.2676056338028169,0.5352112676056338,0.9859154929577465,1.0,0.9859154929577465,0.9859154929577465,1.0,1.0,89.0,33.0,0.0,75
