,Computers available,Departed wait queue,Patrons today,Patrons_waiting 1,Patrons_waiting 10,Patrons_waiting 2,Patrons_waiting 3,Patrons_waiting 4,Patrons_waiting 5,Patrons_waiting 6,Patrons_waiting 7,Patrons_waiting 8,Patrons_waiting 9,Utilization 1,Utilization 10,Utilization 2,Utilization 3,Utilization 4,Utilization 5,Utilization 6,Utilization 7,Utilization 8,Utilization 9,max wait duration,median wait duration,min wait duration,Inventory qty
70,71,113,520,0,34,0,0,14,77,134,128,92,54,0.2676056338028169,0.8591549295774648,0.4084507042253521,0.4225352112676056,1.0,1.0,0.9859154929577465,0.9859154929577465,1.0,1.0,89.0,33.0,0.0,75
71,70,125,530,0,28,0,0,2,60,114,121,61,51,0.21428571428571427,0.9,0.24285714285714285,0.4142857142857143,1.0,1.0,1.0,1.0,1.0,0.9857142857142858,88.0,36.0,0.0,75
72,70,131,528,0,54,0,0,8,66,142,155,113,84,0.24285714285714285,1.0,0.4,0.6428571428571429,1.0,1.0,1.0,0.9857142857142858,1.0,1.0,87.0,43.5,0.0,75
73,70,86,502,0,91,0,0,16,60,103,147,124,101,0.21428571428571427,0.8,0.2857142857142857,0.4714285714285714,0.9857142857142858,1.0,0.9857142857142858,0.9857142857142858,1.0,1.0,88.0,27.0,0.0,75
74,70,109,539,0,35,0,0,4,69,132,153,111,64,0.2571428571428571,0.9285714285714286,0.3142857142857143,0.42857142857142855,1.0,1.0,1.0,0.9857142857142858,1.0,0.9857142857142858,87.0,29.0,0.0,75
75,70,125,539,0,56,0,0,18,92,144,149,92,68,0.21428571428571427,0.9,0.34285714285714286,0.44285714285714284,1.0,1.0,0.9857142857142858,1.0,0.9857142857142858,0.9857142857142858,88.0,33.0,0.0,75
76,70,91,513,0,77,0,0,22,64,135,149,127,102,0.2,0.8571428571428571,0.2714285714285714,0.6,1.0,0.9857142857142858,0.9857142857142858,1.0,1.0,1.0,89.0,24.0,0.0,75
77,71,104,561,0,88,0,0,34,87,159,184,145,110,0.2535211267605634,0.8873239436619719,0.2676056338028169,0.29577464788732394,1.0,0.9859154929577465,1.0,1.0,1.0,0.9859154929577465,88.0,31.0,0.0,75
78,71,106,540,0,57,0,0,0,49,116,149,109,70,0.22535211267605634,0.8591549295774648,0.36619718309859156,0.4507042253521127,0.971830985915493,0.9859154929577465,1.0,1.0,1.0,1.0,88.0,23.0,0.0,75
79,71,151,531,0,4,0,0,5,64,131,122,66,30,0.16901408450704225,1.0,0.19718309859154928,0.3380281690140845,1.0,1.0,1.0,0.9859154929577465,0.9859154929577465,0.9859154929577465,107.0,42.0,0.0,75
